3.4171286	1.7085643	3
4.120655	1.7085643	8
4.8241815	1.7085643	3
4.120655	2.4120908	3
4.623174	2.2110832	3
4.623174	2.9146097	4
-4.623174	-4.623174	4
-4.120655	-4.8241815	4
-3.4171286	-4.8241815	3
-4.120655	-4.120655	5
-3.4171286	-4.120655	5
-4.120655	-3.4171286	4
-3.4171286	-3.4171286	3
-2.9146097	-3.6181361	4
-2.2110832	-3.6181361	3
-3.6181361	-2.9146097	3
-2.9146097	-2.9146097	6
-2.2110832	-2.9146097	4
-2.4120908	-2.4120908	4
-1.7085643	-2.4120908	5
-2.4120908	-1.7085643	3
-1.7085643	-1.7085643	4
-1.2060454	-1.9095718	4
-0.50251891	-1.9095718	3
-1.2060454	-1.2060454	5
-0.50251891	-1.2060454	5
-1.2060454	-0.50251891	4
-0.50251891	-0.50251891	3
0	-0.70352647	4
0.70352647	-0.70352647	3
-0.70352647	0	3
0	0	6
0.70352647	0	4
0.50251891	0.50251891	4
1.2060454	0.50251891	5
1.9095718	0.50251891	4
0.50251891	1.2060454	3
1.2060454	1.2060454	5
1.9095718	1.2060454	3
2.4120908	1.0050378	3
1.7085643	1.7085643	4
2.4120908	1.7085643	6
1.7085643	2.4120908	3
2.4120908	2.4120908	4
2.9146097	2.2110832	4
3.6181361	2.2110832	3
2.9146097	2.9146097	6
3.6181361	2.9146097	4
2.9146097	3.6181361	3
3.4171286	3.4171286	3
4.120655	3.4171286	5
4.8241815	3.4171286	3
3.4171286	4.120655	4
4.120655	4.120655	5
4.8241815	4.120655	4
4.623174	4.623174	4
-4.623174	-3.6181361	4
-4.623174	-2.9146097	5
-4.120655	-2.4120908	5
-3.4171286	-2.4120908	4
-4.120655	-1.7085643	4
-3.4171286	-1.7085643	3
-2.9146097	-1.9095718	3
-3.6181361	-1.2060454	3
-2.9146097	-1.2060454	8
-2.2110832	-1.2060454	3
-2.9146097	-0.50251891	3
-2.4120908	-0.70352647	3
-1.7085643	-0.70352647	4
-2.4120908	0	4
-1.7085643	0	5
-1.2060454	0.50251891	5
-0.50251891	0.50251891	4
-1.2060454	1.2060454	4
-0.50251891	1.2060454	3
0	1.0050378	3
-0.70352647	1.7085643	3
0	1.7085643	7
0.70352647	1.7085643	4
0	2.4120908	4
0.70352647	2.4120908	3
1.2060454	2.2110832	3
0.50251891	2.9146097	3
1.2060454	2.9146097	8
1.9095718	2.9146097	3
1.2060454	3.6181361	3
1.7085643	3.4171286	3
2.4120908	3.4171286	4
1.7085643	4.120655	4
2.4120908	4.120655	5
2.9146097	4.623174	5
3.6181361	4.623174	4
-4.623174	-1.9095718	3
-4.623174	-1.2060454	6
-4.623174	-0.50251891	4
-4.120655	-0.70352647	4
-3.4171286	-0.70352647	3
-4.120655	0	5
-3.4171286	0	4
-3.6181361	0.50251891	4
-2.9146097	0.50251891	5
-2.2110832	0.50251891	4
-3.6181361	1.2060454	3
-2.9146097	1.2060454	5
-2.2110832	1.2060454	3
-1.7085643	1.0050378	3
-2.4120908	1.7085643	4
-1.7085643	1.7085643	6
-2.4120908	2.4120908	3
-1.7085643	2.4120908	4
-1.2060454	2.2110832	4
-0.50251891	2.2110832	3
-1.2060454	2.9146097	5
-0.50251891	2.9146097	5
-1.2060454	3.6181361	4
-0.50251891	3.6181361	3
0	3.4171286	4
0.70352647	3.4171286	3
-0.70352647	4.120655	3
0	4.120655	6
0.70352647	4.120655	4
0.50251891	4.623174	4
1.2060454	4.623174	6
1.9095718	4.623174	3
-4.623174	0.50251891	5
-4.623174	1.2060454	4
-4.120655	1.0050378	3
-4.120655	1.7085643	6
-3.4171286	1.7085643	4
-4.120655	2.4120908	4
-3.4171286	2.4120908	3
-2.9146097	2.2110832	3
-3.6181361	2.9146097	3
-2.9146097	2.9146097	8
-2.2110832	2.9146097	3
-2.9146097	3.6181361	3
-2.4120908	3.4171286	3
-1.7085643	3.4171286	4
-2.4120908	4.120655	4
-1.7085643	4.120655	5
-1.2060454	4.623174	5
-0.50251891	4.623174	4
-4.623174	2.2110832	4
-4.623174	2.9146097	6
-4.623174	3.6181361	3
-4.120655	3.4171286	4
-3.4171286	3.4171286	3
-4.120655	4.120655	5
-3.4171286	4.120655	4
-3.6181361	4.623174	3
-2.9146097	4.623174	6
-2.2110832	4.623174	4
-4.623174	4.623174	5
