122	124	128	0	0	0	0	0
82	122	128	0	0	0	0	0
124	128	129	168	0	0	0	0
84	125	126	127	130	131	0	0
127	130	170	0	0	0	0	0
128	129	133	171	0	0	0	0
87	128	132	133	0	0	0	0
88	131	134	0	0	0	0	0
130	131	134	135	136	174	0	0
90	132	133	137	0	0	0	0
133	139	176	0	0	0	0	0
133	137	139	0	0	0	0	0
92	134	136	138	140	0	0	0
137	141	230	0	0	0	0	0
135	136	140	177	0	0	0	0
137	139	141	142	178	0	0	0
138	140	231	239	0	0	0	0
140	239	1	4	0	0	0	0
96	144	7	9	0	0	0	0
98	143	145	10	25	0	0	0
102	144	146	147	179	0	0	0
103	145	148	149	0	0	0	0
145	148	150	180	0	0	0	0
146	147	151	0	0	0	0	0
105	146	151	0	0	0	0	0
147	151	182	0	0	0	0	0
107	148	149	150	152	153	154	183
108	151	155	0	0	0	0	0
151	156	185	0	0	0	0	0
151	155	156	0	0	0	0	0
111	152	154	157	0	0	0	0
153	154	157	187	0	0	0	0
113	155	156	158	188	0	0	0
117	157	159	160	192	0	0	0
118	158	161	162	0	0	0	0
158	161	163	194	0	0	0	0
159	160	164	0	0	0	0	0
120	159	164	0	0	0	0	0
160	164	197	0	0	0	0	0
123	161	162	163	165	166	198	0
124	164	167	168	0	0	0	0
164	167	169	200	0	0	0	0
165	166	170	0	0	0	0	0
127	165	170	0	0	0	0	0
166	170	203	0	0	0	0	0
129	167	168	169	171	172	173	204
130	170	174	0	0	0	0	0
170	175	207	0	0	0	0	0
170	174	175	0	0	0	0	0
133	171	173	176	0	0	0	0
172	173	176	209	0	0	0	0
135	174	175	177	210	0	0	0
139	176	178	2	14	0	0	0
140	177	3	4	0	0	0	0
145	180	25	0	0	0	0	0
147	179	181	182	28	29	0	0
180	184	30	55	0	0	0	0
150	180	183	184	0	0	0	0
151	182	185	0	0	0	0	0
181	182	185	186	211	0	0	0
153	183	184	187	0	0	0	0
184	187	189	213	0	0	0	0
156	185	186	188	190	0	0	0
157	187	191	192	0	0	0	0
186	190	214	0	0	0	0	0
187	189	191	193	215	0	0	0
188	190	194	0	0	0	0	0
158	188	194	0	0	0	0	0
190	194	195	218	0	0	0	0
160	191	192	193	196	197	0	0
193	196	220	0	0	0	0	0
194	195	199	221	0	0	0	0
163	194	198	199	0	0	0	0
164	197	200	0	0	0	0	0
196	197	200	201	224	0	0	0
166	198	199	202	203	0	0	0
199	202	205	226	0	0	0	0
200	201	206	0	0	0	0	0
169	200	204	206	0	0	0	0
170	203	207	0	0	0	0	0
201	206	227	0	0	0	0	0
202	203	205	207	208	228	0	0
172	204	206	209	0	0	0	0
206	209	11	33	0	0	0	0
175	207	208	210	12	13	0	0
176	209	14	0	0	0	0	0
184	212	213	55	56	0	0	0
211	214	57	89	0	0	0	0
186	211	214	0	0	0	0	0
189	212	213	215	216	229	0	0
190	214	217	218	0	0	0	0
214	217	219	230	0	0	0	0
215	216	220	0	0	0	0	0
193	215	220	0	0	0	0	0
216	220	232	0	0	0	0	0
195	217	218	219	221	222	223	233
196	220	224	0	0	0	0	0
220	225	235	0	0	0	0	0
220	224	225	0	0	0	0	0
199	221	223	226	0	0	0	0
222	223	226	237	0	0	0	0
201	224	225	227	238	0	0	0
205	226	228	31	60	0	0	0
206	227	32	33	0	0	0	0
214	230	89	91	0	0	0	0
216	229	231	232	92	138	0	0
230	234	141	0	0	0	0	0
219	230	233	234	0	0	0	0
220	232	235	0	0	0	0	0
231	232	235	236	239	0	0	0
222	233	234	237	0	0	0	0
234	237	94	0	0	0	0	0
225	235	236	238	58	95	0	0
226	237	59	60	0	0	0	0
234	141	142	93	94	0	0	0
